,customer_id,day_since_last_order,day_since_last_order,order_cnt,order_cnt,total_order_value,total_order_value,pct_unique
,nunique,mean,median,mean,median,mean,median,
segment,,,,,,,,
01-Champion,550,10.618181818181819,9.5,15.467272727272727,10.0,5003.674245454546,2775.5249999999996,14.1
02-Loyal Customers,546,40.86446886446886,37.0,8.767399267399268,7.0,2622.817826007326,1946.85,14.0
03-Potential Loyalists,523,23.5736137667304,24.0,2.829827915869981,3.0,766.76982791587,622.07,13.4
04-Can't Lose Them,64,121.984375,112.5,11.375,9.5,2839.948125,2268.4049999999997,1.6
05-Need Attention,176,58.61363636363637,59.0,3.397727272727273,3.0,989.2326761363637,826.3700000000001,4.5
06-New Customers,50,14.22,16.0,1.0,1.0,244.68900000000002,193.675,1.3
07-Promising,142,32.76056338028169,34.0,1.0,1.0,287.8002816901408,238.44,3.7
08-At Risk,426,140.45539906103286,120.0,4.136150234741784,4.0,1153.8256830985915,875.4300000000001,11.0
09-About to Sleep,352,58.73579545454545,58.0,1.4176136363636365,1.0,448.2296875,334.755,9.1
10-Hibernating,1060,196.8377358490566,199.0,1.3132075471698113,1.0,343.0838424528302,257.005,27.3
